,boxscore,away_name,away_abbr,away_score,home_name,home_abbr,home_score,winning_name,winning_abbr,losing_name,losing_abbr
17872,201404160MIA,Philadelphia,PHI,100,Miami,MIA,87,Philadelphia,PHI,Miami,MIA
17873,201404160MIL,Atlanta,ATL,111,Milwaukee,MIL,103,Atlanta,ATL,Milwaukee,MIL
17874,201404160MIN,Utah,UTA,136,Minnesota,MIN,130,Utah,UTA,Minnesota,MIN
17875,201404160NOP,Houston,HOU,100,New Orleans,NOP,105,New Orleans,NOP,Houston,HOU
17876,201404160NYK,Toronto,TOR,92,New York,NYK,95,New York,NYK,Toronto,TOR
17877,201404160OKC,Detroit,DET,111,Oklahoma City,OKC,112,Oklahoma City,OKC,Detroit,DET
17878,201404160ORL,Indiana,IND,101,Orlando,ORL,86,Indiana,IND,Orlando,ORL
17879,201404160POR,LA Clippers,LAC,104,Portland,POR,110,Portland,POR,LA Clippers,LAC
17880,201404160SAC,Phoenix,PHO,104,Sacramento,SAC,99,Phoenix,PHO,Sacramento,SAC
17881,201404160SAS,LA Lakers,LAL,113,San Antonio,SAS,100,LA Lakers,LAL,San Antonio,SAS
17882,201404190IND,Atlanta,ATL,101,Indiana,IND,93,Atlanta,ATL,Indiana,IND
17883,201404190LAC,Golden State,GSW,109,LA Clippers,LAC,105,Golden State,GSW,LA Clippers,LAC
17884,201404190OKC,Memphis,MEM,86,Oklahoma City,OKC,100,Oklahoma City,OKC,Memphis,MEM
17885,201404190TOR,Brooklyn,BRK,94,Toronto,TOR,87,Brooklyn,BRK,Toronto,TOR
17886,201404200CHI,Washington,WAS,102,Chicago,CHI,93,Washington,WAS,Chicago,CHI
17887,201404200HOU,Portland,POR,122,Houston,HOU,120,Portland,POR,Houston,HOU
17888,201404200MIA,Charlotte,CHA,88,Miami,MIA,99,Miami,MIA,Charlotte,CHA
17889,201404200SAS,Dallas,DAL,85,San Antonio,SAS,90,San Antonio,SAS,Dallas,DAL
17890,201404210LAC,Golden State,GSW,98,LA Clippers,LAC,138,LA Clippers,LAC,Golden State,GSW
17891,201404210OKC,Memphis,MEM,111,Oklahoma City,OKC,105,Memphis,MEM,Oklahoma City,OKC
17892,201404220CHI,Washington,WAS,101,Chicago,CHI,99,Washington,WAS,Chicago,CHI
17893,201404220IND,Atlanta,ATL,85,Indiana,IND,101,Indiana,IND,Atlanta,ATL
17894,201404220TOR,Brooklyn,BRK,95,Toronto,TOR,100,Toronto,TOR,Brooklyn,BRK
17895,201404230HOU,Portland,POR,112,Houston,HOU,105,Portland,POR,Houston,HOU
17896,201404230MIA,Charlotte,CHA,97,Miami,MIA,101,Miami,MIA,Charlotte,CHA
17897,201404230SAS,Dallas,DAL,113,San Antonio,SAS,92,Dallas,DAL,San Antonio,SAS
17898,201404240ATL,Indiana,IND,85,Atlanta,ATL,98,Atlanta,ATL,Indiana,IND
17899,201404240GSW,LA Clippers,LAC,98,Golden State,GSW,96,LA Clippers,LAC,Golden State,GSW
17900,201404240MEM,Oklahoma City,OKC,95,Memphis,MEM,98,Memphis,MEM,Oklahoma City,OKC
17901,201404250BRK,Toronto,TOR,98,Brooklyn,BRK,102,Brooklyn,BRK,Toronto,TOR
17902,201404250POR,Houston,HOU,121,Portland,POR,116,Houston,HOU,Portland,POR
17903,201404250WAS,Chicago,CHI,100,Washington,WAS,97,Chicago,CHI,Washington,WAS
17904,201404260ATL,Indiana,IND,91,Atlanta,ATL,88,Indiana,IND,Atlanta,ATL
17905,201404260CHA,Miami,MIA,98,Charlotte,CHA,85,Miami,MIA,Charlotte,CHA
17906,201404260DAL,San Antonio,SAS,108,Dallas,DAL,109,Dallas,DAL,San Antonio,SAS
17907,201404260MEM,Oklahoma City,OKC,92,Memphis,MEM,89,Oklahoma City,OKC,Memphis,MEM
17908,201404270BRK,Toronto,TOR,87,Brooklyn,BRK,79,Toronto,TOR,Brooklyn,BRK
17909,201404270GSW,LA Clippers,LAC,97,Golden State,GSW,118,Golden State,GSW,LA Clippers,LAC
17910,201404270POR,Houston,HOU,120,Portland,POR,123,Portland,POR,Houston,HOU
17911,201404270WAS,Chicago,CHI,89,Washington,WAS,98,Washington,WAS,Chicago,CHI
17912,201404280CHA,Miami,MIA,109,Charlotte,CHA,98,Miami,MIA,Charlotte,CHA
17913,201404280DAL,San Antonio,SAS,93,Dallas,DAL,89,San Antonio,SAS,Dallas,DAL
17914,201404280IND,Atlanta,ATL,107,Indiana,IND,97,Atlanta,ATL,Indiana,IND
17915,201404290CHI,Washington,WAS,75,Chicago,CHI,69,Washington,WAS,Chicago,CHI
17916,201404290LAC,Golden State,GSW,103,LA Clippers,LAC,113,LA Clippers,LAC,Golden State,GSW
17917,201404290OKC,Memphis,MEM,100,Oklahoma City,OKC,99,Memphis,MEM,Oklahoma City,OKC
17918,201404300HOU,Portland,POR,98,Houston,HOU,108,Houston,HOU,Portland,POR
17919,201404300SAS,Dallas,DAL,103,San Antonio,SAS,109,San Antonio,SAS,Dallas,DAL
17920,201404300TOR,Brooklyn,BRK,113,Toronto,TOR,115,Toronto,TOR,Brooklyn,BRK
17921,201405010ATL,Indiana,IND,95,Atlanta,ATL,88,Indiana,IND,Atlanta,ATL
17922,201405010GSW,LA Clippers,LAC,99,Golden State,GSW,100,Golden State,GSW,LA Clippers,LAC
17923,201405010MEM,Oklahoma City,OKC,104,Memphis,MEM,84,Oklahoma City,OKC,Memphis,MEM
17924,201405020BRK,Toronto,TOR,83,Brooklyn,BRK,97,Brooklyn,BRK,Toronto,TOR
17925,201405020DAL,San Antonio,SAS,111,Dallas,DAL,113,Dallas,DAL,San Antonio,SAS
17926,201405020POR,Houston,HOU,98,Portland,POR,99,Portland,POR,Houston,HOU
17927,201405030IND,Atlanta,ATL,80,Indiana,IND,92,Indiana,IND,Atlanta,ATL
17928,201405030LAC,Golden State,GSW,121,LA Clippers,LAC,126,LA Clippers,LAC,Golden State,GSW
17929,201405030OKC,Memphis,MEM,109,Oklahoma City,OKC,120,Oklahoma City,OKC,Memphis,MEM
17930,201405040SAS,Dallas,DAL,96,San Antonio,SAS,119,San Antonio,SAS,Dallas,DAL
17931,201405040TOR,Brooklyn,BRK,104,Toronto,TOR,103,Brooklyn,BRK,Toronto,TOR
17932,201405050IND,Washington,WAS,102,Indiana,IND,96,Washington,WAS,Indiana,IND
17933,201405050OKC,LA Clippers,LAC,122,Oklahoma City,OKC,105,LA Clippers,LAC,Oklahoma City,OKC
17934,201405060MIA,Brooklyn,BRK,86,Miami,MIA,107,Miami,MIA,Brooklyn,BRK
17935,201405060SAS,Portland,POR,92,San Antonio,SAS,116,San Antonio,SAS,Portland,POR
17936,201405070IND,Washington,WAS,82,Indiana,IND,86,Indiana,IND,Washington,WAS
17937,201405070OKC,LA Clippers,LAC,101,Oklahoma City,OKC,112,Oklahoma City,OKC,LA Clippers,LAC
17938,201405080MIA,Brooklyn,BRK,82,Miami,MIA,94,Miami,MIA,Brooklyn,BRK
17939,201405080SAS,Portland,POR,97,San Antonio,SAS,114,San Antonio,SAS,Portland,POR
17940,201405090LAC,Oklahoma City,OKC,118,LA Clippers,LAC,112,Oklahoma City,OKC,LA Clippers,LAC
17941,201405090WAS,Indiana,IND,85,Washington,WAS,63,Indiana,IND,Washington,WAS
17942,201405100BRK,Miami,MIA,90,Brooklyn,BRK,104,Brooklyn,BRK,Miami,MIA
17943,201405100POR,San Antonio,SAS,118,Portland,POR,103,San Antonio,SAS,Portland,POR
17944,201405110LAC,Oklahoma City,OKC,99,LA Clippers,LAC,101,LA Clippers,LAC,Oklahoma City,OKC
17945,201405110WAS,Indiana,IND,95,Washington,WAS,92,Indiana,IND,Washington,WAS
17946,201405120BRK,Miami,MIA,102,Brooklyn,BRK,96,Miami,MIA,Brooklyn,BRK
17947,201405120POR,San Antonio,SAS,92,Portland,POR,103,Portland,POR,San Antonio,SAS
17948,201405130IND,Washington,WAS,102,Indiana,IND,79,Washington,WAS,Indiana,IND
17949,201405130OKC,LA Clippers,LAC,104,Oklahoma City,OKC,105,Oklahoma City,OKC,LA Clippers,LAC
17950,201405140MIA,Brooklyn,BRK,94,Miami,MIA,96,Miami,MIA,Brooklyn,BRK
17951,201405140SAS,Portland,POR,82,San Antonio,SAS,104,San Antonio,SAS,Portland,POR
17952,201405150LAC,Oklahoma City,OKC,104,LA Clippers,LAC,98,Oklahoma City,OKC,LA Clippers,LAC
17953,201405150WAS,Indiana,IND,93,Washington,WAS,80,Indiana,IND,Washington,WAS
17954,201405180IND,Miami,MIA,96,Indiana,IND,107,Indiana,IND,Miami,MIA
17955,201405190SAS,Oklahoma City,OKC,105,San Antonio,SAS,122,San Antonio,SAS,Oklahoma City,OKC
17956,201405200IND,Miami,MIA,87,Indiana,IND,83,Miami,MIA,Indiana,IND
17957,201405210SAS,Oklahoma City,OKC,77,San Antonio,SAS,112,San Antonio,SAS,Oklahoma City,OKC
17958,201405240MIA,Indiana,IND,87,Miami,MIA,99,Miami,MIA,Indiana,IND
17959,201405250OKC,San Antonio,SAS,97,Oklahoma City,OKC,106,Oklahoma City,OKC,San Antonio,SAS
17960,201405260MIA,Indiana,IND,90,Miami,MIA,102,Miami,MIA,Indiana,IND
17961,201405270OKC,San Antonio,SAS,92,Oklahoma City,OKC,105,Oklahoma City,OKC,San Antonio,SAS
17962,201405280IND,Miami,MIA,90,Indiana,IND,93,Indiana,IND,Miami,MIA
